route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"aus:vic:vic-02-ALM:","","Alamein","Alamein - City","400","152C6B","FFFFFF"
"aus:vic:vic-02-ALM-R:","","Replacement Bus","Alamein - City","400","FE5000","FFFFFF"
"aus:vic:vic-02-BEG:","","Belgrave","Belgrave - City","400","152C6B","FFFFFF"
"aus:vic:vic-02-BEG-R:","","Replacement Bus","Belgrave - City","400","FE5000","FFFFFF"
"aus:vic:vic-02-CBE:","","Cranbourne","Cranbourne - City","400","34ACE1","000000"
"aus:vic:vic-02-CBE-R:","","Replacement Bus","Cranbourne - City","400","FE5000","FFFFFF"
"aus:vic:vic-02-CCL:","","City Circle","","400","0072CE","FFFFFF"
"aus:vic:vic-02-CGB:","","Craigieburn","Craigieburn - City","400","FFBE00","000000"
"aus:vic:vic-02-CGB-R:","","Replacement Bus","Craigieburn - City","400","FE5000","FFFFFF"
"aus:vic:vic-02-FKN:","","Frankston","Frankston - City","400","028430","FFFFFF"
"aus:vic:vic-02-FKN-R:","","Replacement Bus","Frankston - City","400","FE5000","FFFFFF"
"aus:vic:vic-02-GWY:","","Glen Waverley","Glen Waverley - City","400","152C6B","FFFFFF"
"aus:vic:vic-02-GWY-R:","","Replacement Bus","Glen Waverley - City","400","FE5000","FFFFFF"
"aus:vic:vic-02-HBE:","","Hurstbridge","Hurstbridge - City","400","BE1014","FFFFFF"
"aus:vic:vic-02-HBE-R:","","Replacement Bus","Hurstbridge - City","400","FE5000","FFFFFF"
"aus:vic:vic-02-LIL:","","Lilydale","Lilydale - City","400","152C6B","FFFFFF"
"aus:vic:vic-02-LIL-R:","","Replacement Bus","Lilydale - City","400","FE5000","FFFFFF"
"aus:vic:vic-02-MDD:","","Mernda","Mernda - City","400","BE1014","FFFFFF"
"aus:vic:vic-02-MDD-R:","","Replacement Bus","Mernda - City","400","FE5000","FFFFFF"
"aus:vic:vic-02-PKM:","","Pakenham","Pakenham - City","400","34ACE1","000000"
"aus:vic:vic-02-PKM-R:","","Replacement Bus","Pakenham - City","400","FE5000","FFFFFF"
"aus:vic:vic-02-RCE:","","Flemington Racecourse","Flemington Racecourse - City","400","95979A","000000"
"aus:vic:vic-02-RCE-R:","","Replacement Bus","City","400","FE5000","FFFFFF"
"aus:vic:vic-02-SHM:","","Sandringham","Sandringham - City","400","F178AF","000000"
"aus:vic:vic-02-SHM-R:","","Replacement Bus","Sandringham - City","400","FE5000","FFFFFF"
"aus:vic:vic-02-STY:","","Stony Point","Stony Point - Frankston","400","028430","FFFFFF"
"aus:vic:vic-02-STY-R:","","Replacement Bus","Stony Point - Frankston","400","FE5000","FFFFFF"
"aus:vic:vic-02-SUY:","","Sunbury","Sunbury - City","400","34ACE1","000000"
"aus:vic:vic-02-SUY-R:","","Replacement Bus","Sunbury - City","400","FE5000","FFFFFF"
"aus:vic:vic-02-UFD:","","Upfield","Upfield - City","400","FFBE00","000000"
"aus:vic:vic-02-UFD-R:","","Replacement Bus","Upfield - City","400","FE5000","FFFFFF"
"aus:vic:vic-02-WER:","","Werribee","Werribee - City","400","F178AF","000000"
"aus:vic:vic-02-WER-R:","","Replacement Bus","Werribee - City","400","FE5000","FFFFFF"
"aus:vic:vic-02-WIL:","","Williamstown","Williamstown - City","400","F178AF","000000"
"aus:vic:vic-02-WIL-R:","","Replacement Bus","Williamstown - City","400","FE5000","FFFFFF"
